ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-07-02T08:30:10.700955+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,262.8,289.4,289.4,429.2,492.2,492.2,104.6,groq,2026-07-02,8,1.101
2026-07-02T08:30:21.240769+00:00,GMNI,gemini-2.5-flash,6,6,1.0,,,,,,,,google,2026-07-02,8,
2026-07-02T09:01:51.577375+00:00,OSS,openai/gpt-oss-120b,8,8,1.0,,,,,,,,groq,2026-07-02,9,
2026-07-02T09:01:56.797265+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,199.8,275.3,275.3,391.5,452.6,452.6,124.2,groq,2026-07-02,9,1.378
2026-07-02T09:02:00.327385+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,44.1,282.0,282.0,145.3,394.0,394.0,222.4,groq,2026-07-02,9,6.395
2026-07-02T11:42:09.954050+00:00,OSS,openai/gpt-oss-120b,8,8,1.0,,,,,,,,groq,2026-07-02,11,
2026-07-02T11:42:15.824228+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,234.6,443.2,443.2,411.6,605.3,605.3,104.4,groq,2026-07-02,11,1.889
2026-07-02T11:42:19.621017+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,114.2,137.4,137.4,222.0,255.6,255.6,227.3,groq,2026-07-02,11,1.203
2026-07-02T14:24:13.605486+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,280.6,344.1,344.1,474.1,521.1,521.1,98.1,groq,2026-07-02,14,1.226
2026-07-02T14:24:17.888445+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,174.1,259.9,259.9,275.6,345.4,345.4,179.2,groq,2026-07-02,14,1.493
2026-07-02T14:24:22.991829+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,306.7,578.9,578.9,383.6,583.6,583.6,219.4,groq,2026-07-02,14,1.888
2026-07-02T14:24:27.114676+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,245.0,308.8,308.8,376.9,430.1,430.1,188.2,groq,2026-07-02,14,1.26
2026-07-02T14:26:24.302515+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,220.5,443.1,443.1,403.4,609.1,609.1,102.3,groq,2026-07-02,14,2.01
2026-07-02T14:26:27.774423+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,92.6,206.3,206.3,177.6,314.7,314.7,211.4,groq,2026-07-02,14,2.228
2026-07-02T14:26:32.587696+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,246.6,451.6,451.6,322.1,523.5,523.5,223.5,groq,2026-07-02,14,1.831
2026-07-02T14:26:37.025799+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,246.1,503.0,503.0,362.0,763.2,763.2,153.6,groq,2026-07-02,14,2.044
2026-07-02T14:49:04.209672+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,286.4,726.3,726.3,493.9,920.5,920.5,78.9,groq,2026-07-02,14,2.536
2026-07-02T14:49:07.626510+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,88.5,92.7,92.7,183.9,216.4,216.4,277.9,groq,2026-07-02,14,1.047
2026-07-02T14:49:12.679384+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,221.6,505.3,505.3,298.3,575.0,575.0,213.0,groq,2026-07-02,14,2.28
2026-07-02T14:49:16.489146+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,159.1,251.0,251.0,297.2,403.2,403.2,206.1,groq,2026-07-02,14,1.578
2026-07-02T14:49:29.319433+00:00,GMNI,gemini-2.5-flash,6,1,0.1667,1592.9,1718.2,1718.2,1592.9,1718.2,1718.2,5.9,google,2026-07-02,14,1.079
2026-07-02T14:52:53.895328+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,222.9,436.9,436.9,403.4,622.8,622.8,110.5,groq,2026-07-02,14,1.96
2026-07-02T14:52:57.207357+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,67.6,74.9,74.9,161.5,199.9,199.9,278.8,groq,2026-07-02,14,1.108
2026-07-02T14:53:01.912477+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,277.4,292.6,292.6,353.4,373.4,373.4,289.1,groq,2026-07-02,14,1.055
2026-07-02T14:53:05.925442+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,135.9,289.3,289.3,267.3,402.2,402.2,202.4,groq,2026-07-02,14,2.129
2026-07-02T14:53:19.815574+00:00,GMNI,gemini-2.5-flash,6,0,0.0,1551.1,1834.4,1834.4,1551.1,1834.4,1834.4,6.0,google,2026-07-02,14,1.183
